Clock_Round,Service_Area,Bidder,bid_decision,prov_win_bid,prov_rank
1,Delhi,Aircel,Bid,-,-
1,Mumbai,Aircel,Bid,-,-
1,Maharashtra,Aircel,Bid,-,-
1,Gujarat,Aircel,Bid,-,-
1,Andhra Pradesh,Aircel,Bid,-,-
1,Karnataka,Aircel,Bid,-,-
1,Tamil Nadu,Aircel,Bid,-,-
1,Kolkata,Aircel,Bid,-,-
1,Kerala,Aircel,Bid,-,-
1,Punjab,Aircel,No Bid,-,-
1,Haryana,Aircel,No Bid,-,-
1,Uttar Pradesh (East),Aircel,No Bid,-,-
1,Uttar Pradesh (West),Aircel,Bid,-,-
1,Rajasthan,Aircel,No Bid,-,-
1,Madhya Pradesh,Aircel,No Bid,-,-
1,West Bengal,Aircel,Bid,120.00,2
1,Himachal Pradesh,Aircel,No Bid,-,-
1,Bihar,Aircel,Bid,30.00,4
1,Orissa,Aircel,No Bid,-,-
1,Assam,Aircel,No Bid,-,-
1,North East,Aircel,Bid,30.00,1
1,Jammu & Kashmir,Aircel,Bid,30.00,2
1,Delhi,Bharti,No Bid,-,-
1,Mumbai,Bharti,No Bid,-,-
1,Maharashtra,Bharti,Bid,-,-
1,Gujarat,Bharti,Bid,-,-
1,Andhra Pradesh,Bharti,Bid,-,-
1,Karnataka,Bharti,Bid,-,-
1,Tamil Nadu,Bharti,Bid,-,-
1,Kolkata,Bharti,Bid,-,-
1,Kerala,Bharti,Bid,-,-
1,Punjab,Bharti,Bid,-,-
1,Haryana,Bharti,Bid,-,-
1,Uttar Pradesh (East),Bharti,Bid,-,-
1,Uttar Pradesh (West),Bharti,Bid,-,-
1,Rajasthan,Bharti,Bid,-,-
1,Madhya Pradesh,Bharti,Bid,-,-
1,West Bengal,Bharti,Bid,120.00,4
1,Himachal Pradesh,Bharti,Bid,30.00,2
1,Bihar,Bharti,No Bid,-,-
1,Orissa,Bharti,No Bid,-,-
1,Assam,Bharti,Bid,30.00,1
1,North East,Bharti,Bid,30.00,2
1,Jammu & Kashmir,Bharti,Bid,30.00,4
1,Delhi,Etisalat,Bid,320.00,2
1,Mumbai,Etisalat,Bid,320.00,2
1,Maharashtra,Etisalat,Bid,320.00,2
1,Gujarat,Etisalat,Bid,320.00,2
1,Andhra Pradesh,Etisalat,Bid,320.00,2
1,Karnataka,Etisalat,Bid,320.00,2
1,Tamil Nadu,Etisalat,Bid,320.00,2
1,Kolkata,Etisalat,No Bid,-,-
1,Kerala,Etisalat,Bid,120.00,2
1,Punjab,Etisalat,Bid,120.00,2
1,Haryana,Etisalat,Bid,120.00,2
1,Uttar Pradesh (East),Etisalat,Bid,120.00,2
1,Uttar Pradesh (West),Etisalat,Bid,120.00,2
1,Rajasthan,Etisalat,Bid,120.00,2
1,Madhya Pradesh,Etisalat,Bid,120.00,2
1,West Bengal,Etisalat,No Bid,-,-
1,Himachal Pradesh,Etisalat,No Bid,-,-
1,Bihar,Etisalat,Bid,30.00,2
1,Orissa,Etisalat,No Bid,-,-
1,Assam,Etisalat,No Bid,-,-
1,North East,Etisalat,No Bid,-,-
1,Jammu & Kashmir,Etisalat,No Bid,-,-
1,Delhi,Idea,Bid,-,-
1,Mumbai,Idea,Bid,-,-
1,Maharashtra,Idea,No Bid,-,-
1,Gujarat,Idea,Bid,-,-
1,Andhra Pradesh,Idea,Bid,-,-
1,Karnataka,Idea,Bid,-,-
1,Tamil Nadu,Idea,Bid,-,-
1,Kolkata,Idea,Bid,120.00,3
1,Kerala,Idea,No Bid,-,-
1,Punjab,Idea,Bid,120.00,3
1,Haryana,Idea,Bid,-,-
1,Uttar Pradesh (East),Idea,Bid,-,-
1,Uttar Pradesh (West),Idea,No Bid,-,-
1,Rajasthan,Idea,Bid,120.00,3
1,Madhya Pradesh,Idea,Bid,120.00,3
1,West Bengal,Idea,Bid,120.00,1
1,Himachal Pradesh,Idea,Bid,30.00,1
1,Bihar,Idea,Bid,30.00,3
1,Orissa,Idea,No Bid,-,-
1,Assam,Idea,No Bid,-,-
1,North East,Idea,No Bid,-,-
1,Jammu & Kashmir,Idea,No Bid,-,-
1,Delhi,Reliance,Bid,-,-
1,Mumbai,Reliance,Bid,-,-
1,Maharashtra,Reliance,Bid,-,-
1,Gujarat,Reliance,Bid,-,-
1,Andhra Pradesh,Reliance,Bid,-,-
1,Karnataka,Reliance,No Bid,-,-
1,Tamil Nadu,Reliance,No Bid,-,-
1,Kolkata,Reliance,Bid,-,-
1,Kerala,Reliance,Bid,-,-
1,Punjab,Reliance,Bid,120.00,4
1,Haryana,Reliance,Bid,-,-
1,Uttar Pradesh (East),Reliance,Bid,-,-
1,Uttar Pradesh (West),Reliance,Bid,-,-
1,Rajasthan,Reliance,Bid,-,-
1,Madhya Pradesh,Reliance,Bid,-,-
1,West Bengal,Reliance,Bid,120.00,3
1,Himachal Pradesh,Reliance,Bid,30.00,3
1,Bihar,Reliance,Bid,-,-
1,Orissa,Reliance,No Bid,-,-
1,Assam,Reliance,No Bid,-,-
1,North East,Reliance,Bid,30.00,3
1,Jammu & Kashmir,Reliance,Bid,30.00,3
1,Delhi,STel,No Bid,-,-
1,Mumbai,STel,No Bid,-,-
1,Maharashtra,STel,No Bid,-,-
1,Gujarat,STel,No Bid,-,-
1,Andhra Pradesh,STel,No Bid,-,-
1,Karnataka,STel,No Bid,-,-
1,Tamil Nadu,STel,No Bid,-,-
1,Kolkata,STel,No Bid,-,-
1,Kerala,STel,No Bid,-,-
1,Punjab,STel,No Bid,-,-
1,Haryana,STel,No Bid,-,-
1,Uttar Pradesh (East),STel,No Bid,-,-
1,Uttar Pradesh (West),STel,No Bid,-,-
1,Rajasthan,STel,No Bid,-,-
1,Madhya Pradesh,STel,No Bid,-,-
1,West Bengal,STel,No Bid,-,-
1,Himachal Pradesh,STel,Bid,30.00,4
1,Bihar,STel,Bid,-,-
1,Orissa,STel,Bid,30.00,1
1,Assam,STel,Bid,30.00,2
1,North East,STel,Bid,-,-
1,Jammu & Kashmir,STel,No Bid,-,-
1,Delhi,Tata,Bid,320.00,1
1,Mumbai,Tata,Bid,320.00,1
1,Maharashtra,Tata,Bid,320.00,1
1,Gujarat,Tata,Bid,320.00,1
1,Andhra Pradesh,Tata,Bid,320.00,1
1,Karnataka,Tata,Bid,320.00,1
1,Tamil Nadu,Tata,Bid,320.00,1
1,Kolkata,Tata,Bid,120.00,1
1,Kerala,Tata,Bid,120.00,1
1,Punjab,Tata,Bid,120.00,1
1,Haryana,Tata,Bid,120.00,1
1,Uttar Pradesh (East),Tata,Bid,120.00,1
1,Uttar Pradesh (West),Tata,Bid,120.00,1
1,Rajasthan,Tata,Bid,120.00,1
1,Madhya Pradesh,Tata,Bid,120.00,1
1,West Bengal,Tata,No Bid,-,-
1,Himachal Pradesh,Tata,No Bid,-,-
1,Bihar,Tata,Bid,30.00,1
1,Orissa,Tata,No Bid,-,-
1,Assam,Tata,No Bid,-,-
1,North East,Tata,No Bid,-,-
1,Jammu & Kashmir,Tata,Bid,30.00,1
1,Delhi,Videocon,No Bid,-,-
1,Mumbai,Videocon,No Bid,-,-
1,Maharashtra,Videocon,No Bid,-,-
1,Gujarat,Videocon,No Bid,-,-
1,Andhra Pradesh,Videocon,No Bid,-,-
1,Karnataka,Videocon,No Bid,-,-
1,Tamil Nadu,Videocon,No Bid,-,-
1,Kolkata,Videocon,No Bid,-,-
1,Kerala,Videocon,Bid,-,-
1,Punjab,Videocon,No Bid,-,-
1,Haryana,Videocon,No Bid,-,-
1,Uttar Pradesh (East),Videocon,No Bid,-,-
1,Uttar Pradesh (West),Videocon,No Bid,-,-
1,Rajasthan,Videocon,No Bid,-,-
1,Madhya Pradesh,Videocon,No Bid,-,-
1,West Bengal,Videocon,No Bid,-,-
1,Himachal Pradesh,Videocon,No Bid,-,-
1,Bihar,Videocon,No Bid,-,-
1,Orissa,Videocon,No Bid,-,-
1,Assam,Videocon,No Bid,-,-
1,North East,Videocon,No Bid,-,-
1,Jammu & Kashmir,Videocon,No Bid,-,-
1,Delhi,Vodafone,Bid,320.00,3
1,Mumbai,Vodafone,Bid,320.00,3
1,Maharashtra,Vodafone,Bid,320.00,3
1,Gujarat,Vodafone,Bid,320.00,3
1,Andhra Pradesh,Vodafone,Bid,320.00,3
1,Karnataka,Vodafone,Bid,320.00,3
1,Tamil Nadu,Vodafone,Bid,320.00,3
1,Kolkata,Vodafone,Bid,120.00,2
1,Kerala,Vodafone,Bid,120.00,3
1,Punjab,Vodafone,No Bid,-,-
1,Haryana,Vodafone,Bid,120.00,3
1,Uttar Pradesh (East),Vodafone,Bid,120.00,3
1,Uttar Pradesh (West),Vodafone,Bid,120.00,3
1,Rajasthan,Vodafone,No Bid,-,-
1,Madhya Pradesh,Vodafone,No Bid,-,-
1,West Bengal,Vodafone,No Bid,-,-
1,Himachal Pradesh,Vodafone,No Bid,-,-
1,Bihar,Vodafone,No Bid,-,-
1,Orissa,Vodafone,No Bid,-,-
1,Assam,Vodafone,No Bid,-,-
1,North East,Vodafone,No Bid,-,-
1,Jammu & Kashmir,Vodafone,No Bid,-,-
2,Delhi,Aircel,Bid,352.00,1
2,Mumbai,Aircel,Bid,352.00,1
2,Maharashtra,Aircel,Bid,352.00,1
2,Gujarat,Aircel,Bid,352.00,1
2,Andhra Pradesh,Aircel,Bid,352.00,1
2,Karnataka,Aircel,Bid,352.00,1
2,Tamil Nadu,Aircel,Bid,352.00,1
2,Kolkata,Aircel,Bid,132.00,1
2,Kerala,Aircel,Bid,132.00,1
2,Punjab,Aircel,No Bid,-,-
2,Haryana,Aircel,No Bid,-,-
2,Uttar Pradesh (East),Aircel,No Bid,-,-
2,Uttar Pradesh (West),Aircel,Bid,132.00,1
2,Rajasthan,Aircel,No Bid,-,-
2,Madhya Pradesh,Aircel,No Bid,-,-
2,West Bengal,Aircel,No Bid,120.00,2
2,Himachal Pradesh,Aircel,No Bid,-,-
2,Bihar,Aircel,No Bid,-,-
2,Orissa,Aircel,No Bid,-,-
2,Assam,Aircel,No Bid,-,-
2,North East,Aircel,No Bid,30.00,2
2,Jammu & Kashmir,Aircel,No Bid,30.00,2
2,Delhi,Bharti,No Bid,-,-
2,Mumbai,Bharti,Bid,352.00,3
2,Maharashtra,Bharti,Bid,352.00,2
2,Gujarat,Bharti,Bid,352.00,3
2,Andhra Pradesh,Bharti,No Bid,-,-
2,Karnataka,Bharti,Bid,352.00,3
2,Tamil Nadu,Bharti,Bid,352.00,3
2,Kolkata,Bharti,Bid,132.00,2
2,Kerala,Bharti,Bid,132.00,2
2,Punjab,Bharti,Bid,121.20,1
2,Haryana,Bharti,Bid,132.00,2
2,Uttar Pradesh (East),Bharti,Bid,132.00,2
2,Uttar Pradesh (West),Bharti,Bid,132.00,2
2,Rajasthan,Bharti,Bid,126.00,1
2,Madhya Pradesh,Bharti,Bid,126.00,1
2,West Bengal,Bharti,No Bid,120.00,4
2,Himachal Pradesh,Bharti,No Bid,30.00,3
2,Bihar,Bharti,No Bid,-,-
2,Orissa,Bharti,No Bid,-,-
2,Assam,Bharti,-,30.00,1
2,North East,Bharti,No Bid,30.00,3
2,Jammu & Kashmir,Bharti,No Bid,30.00,4
2,Delhi,Etisalat,No Bid,-,-
2,Mumbai,Etisalat,No Bid,-,-
2,Maharashtra,Etisalat,No Bid,-,-
2,Gujarat,Etisalat,No Bid,-,-
2,Andhra Pradesh,Etisalat,No Bid,-,-
2,Karnataka,Etisalat,No Bid,-,-
2,Tamil Nadu,Etisalat,No Bid,-,-
2,Kolkata,Etisalat,No Bid,-,-
2,Kerala,Etisalat,No Bid,-,-
2,Punjab,Etisalat,No Bid,120.00,3
2,Haryana,Etisalat,No Bid,-,-
2,Uttar Pradesh (East),Etisalat,No Bid,-,-
2,Uttar Pradesh (West),Etisalat,No Bid,-,-
2,Rajasthan,Etisalat,No Bid,-,-
2,Madhya Pradesh,Etisalat,No Bid,-,-
2,West Bengal,Etisalat,No Bid,-,-
