Clock_Round,Service_Area,Bidder,bid_decision,prov_win_bid,prov_rank
1,Delhi,Aircel,Bid,-,-
1,Mumbai,Aircel,Bid,-,-
1,Kolkata,Aircel,Bid,-,-
1,Maharashtra,Aircel,Bid,-,-
1,Gujarat,Aircel,Bid,-,-
1,Andhra Pradesh,Aircel,Bid,-,-
1,Karnataka,Aircel,Bid,-,-
1,Tamil Nadu,Aircel,Bid,-,-
1,Kerala,Aircel,Bid,-,-
1,Punjab,Aircel,Bid,-,-
1,Haryana,Aircel,No Bid,-,-
1,Uttar Pradesh (East),Aircel,No Bid,-,-
1,Uttar Pradesh (West),Aircel,No Bid,-,-
1,Rajasthan,Aircel,No Bid,-,-
1,Madhya Pradesh,Aircel,No Bid,-,-
1,West Bengal,Aircel,No Bid,-,-
1,Himachal Pradesh,Aircel,No Bid,-,-
1,Bihar,Aircel,No Bid,-,-
1,Orissa,Aircel,No Bid,-,-
1,Assam,Aircel,No Bid,-,-
1,North East,Aircel,No Bid,-,-
1,Jammu & Kashmir,Aircel,No Bid,-,-
1,Delhi,Augere,No Bid,-,-
1,Mumbai,Augere,No Bid,-,-
1,Kolkata,Augere,No Bid,-,-
1,Maharashtra,Augere,No Bid,-,-
1,Gujarat,Augere,No Bid,-,-
1,Andhra Pradesh,Augere,No Bid,-,-
1,Karnataka,Augere,No Bid,-,-
1,Tamil Nadu,Augere,No Bid,-,-
1,Kerala,Augere,No Bid,-,-
1,Punjab,Augere,No Bid,-,-
1,Haryana,Augere,No Bid,-,-
1,Uttar Pradesh (East),Augere,No Bid,-,-
1,Uttar Pradesh (West),Augere,No Bid,-,-
1,Rajasthan,Augere,No Bid,-,-
1,Madhya Pradesh,Augere,Bid,60,2
1,West Bengal,Augere,No Bid,-,-
1,Himachal Pradesh,Augere,No Bid,-,-
1,Bihar,Augere,Bid,15,2
1,Orissa,Augere,Bid,15,2
1,Assam,Augere,No Bid,-,-
1,North East,Augere,No Bid,-,-
1,Jammu & Kashmir,Augere,No Bid,-,-
1,Delhi,Bharti,Bid,160,2
1,Mumbai,Bharti,Bid,160,2
1,Kolkata,Bharti,Bid,-,-
1,Maharashtra,Bharti,Bid,-,-
1,Gujarat,Bharti,Bid,-,-
1,Andhra Pradesh,Bharti,Bid,-,-
1,Karnataka,Bharti,Bid,-,-
1,Tamil Nadu,Bharti,Bid,-,-
1,Kerala,Bharti,Bid,-,-
1,Punjab,Bharti,Bid,60,2
1,Haryana,Bharti,No Bid,-,-
1,Uttar Pradesh (East),Bharti,Bid,60,2
1,Uttar Pradesh (West),Bharti,Bid,60,2
1,Rajasthan,Bharti,No Bid,-,-
1,Madhya Pradesh,Bharti,No Bid,-,-
1,West Bengal,Bharti,No Bid,-,-
1,Himachal Pradesh,Bharti,No Bid,-,-
1,Bihar,Bharti,No Bid,-,-
1,Orissa,Bharti,No Bid,-,-
1,Assam,Bharti,No Bid,-,-
1,North East,Bharti,No Bid,-,-
1,Jammu & Kashmir,Bharti,No Bid,-,-
1,Delhi,Idea,Bid,-,-
1,Mumbai,Idea,Bid,-,-
1,Kolkata,Idea,Bid,-,-
1,Maharashtra,Idea,Bid,-,-
1,Gujarat,Idea,No Bid,-,-
1,Andhra Pradesh,Idea,Bid,-,-
1,Karnataka,Idea,Bid,-,-
1,Tamil Nadu,Idea,Bid,-,-
1,Kerala,Idea,Bid,-,-
1,Punjab,Idea,Bid,-,-
1,Haryana,Idea,No Bid,-,-
1,Uttar Pradesh (East),Idea,Bid,-,-
1,Uttar Pradesh (West),Idea,Bid,-,-
1,Rajasthan,Idea,No Bid,-,-
1,Madhya Pradesh,Idea,No Bid,-,-
1,West Bengal,Idea,No Bid,-,-
1,Himachal Pradesh,Idea,No Bid,-,-
1,Bihar,Idea,No Bid,-,-
1,Orissa,Idea,No Bid,-,-
1,Assam,Idea,No Bid,-,-
1,North East,Idea,No Bid,-,-
1,Jammu & Kashmir,Idea,No Bid,-,-
1,Delhi,Infotel,Bid,160,1
1,Mumbai,Infotel,Bid,160,1
1,Kolkata,Infotel,Bid,60,1
1,Maharashtra,Infotel,Bid,160,1
1,Gujarat,Infotel,Bid,160,1
1,Andhra Pradesh,Infotel,Bid,160,1
1,Karnataka,Infotel,Bid,160,1
1,Tamil Nadu,Infotel,Bid,160,1
1,Kerala,Infotel,Bid,60,1
1,Punjab,Infotel,Bid,60,1
1,Haryana,Infotel,Bid,60,1
1,Uttar Pradesh (East),Infotel,Bid,60,1
1,Uttar Pradesh (West),Infotel,Bid,60,1
1,Rajasthan,Infotel,Bid,60,1
1,Madhya Pradesh,Infotel,Bid,60,1
1,West Bengal,Infotel,Bid,60,1
1,Himachal Pradesh,Infotel,Bid,15,1
1,Bihar,Infotel,Bid,15,1
1,Orissa,Infotel,Bid,15,1
1,Assam,Infotel,Bid,15,1
1,North East,Infotel,Bid,15,1
1,Jammu & Kashmir,Infotel,Bid,15,1
1,Delhi,Qualcomm,Bid,-,-
1,Mumbai,Qualcomm,Bid,-,-
1,Kolkata,Qualcomm,Bid,-,-
1,Maharashtra,Qualcomm,Bid,-,-
1,Gujarat,Qualcomm,Bid,-,-
1,Andhra Pradesh,Qualcomm,Bid,-,-
1,Karnataka,Qualcomm,Bid,-,-
1,Tamil Nadu,Qualcomm,Bid,-,-
1,Kerala,Qualcomm,No Bid,-,-
1,Punjab,Qualcomm,No Bid,-,-
1,Haryana,Qualcomm,No Bid,-,-
1,Uttar Pradesh (East),Qualcomm,No Bid,-,-
1,Uttar Pradesh (West),Qualcomm,No Bid,-,-
1,Rajasthan,Qualcomm,No Bid,-,-
1,Madhya Pradesh,Qualcomm,No Bid,-,-
1,West Bengal,Qualcomm,No Bid,-,-
1,Himachal Pradesh,Qualcomm,No Bid,-,-
1,Bihar,Qualcomm,No Bid,-,-
1,Orissa,Qualcomm,No Bid,-,-
1,Assam,Qualcomm,No Bid,-,-
1,North East,Qualcomm,No Bid,-,-
1,Jammu & Kashmir,Qualcomm,No Bid,-,-
1,Delhi,Reliance,Bid,-,-
1,Mumbai,Reliance,Bid,-,-
1,Kolkata,Reliance,No Bid,-,-
1,Maharashtra,Reliance,Bid,-,-
1,Gujarat,Reliance,Bid,-,-
1,Andhra Pradesh,Reliance,Bid,-,-
1,Karnataka,Reliance,Bid,-,-
1,Tamil Nadu,Reliance,Bid,-,-
1,Kerala,Reliance,No Bid,-,-
1,Punjab,Reliance,No Bid,-,-
1,Haryana,Reliance,No Bid,-,-
1,Uttar Pradesh (East),Reliance,No Bid,-,-
1,Uttar Pradesh (West),Reliance,No Bid,-,-
1,Rajasthan,Reliance,No Bid,-,-
1,Madhya Pradesh,Reliance,No Bid,-,-
1,West Bengal,Reliance,No Bid,-,-
1,Himachal Pradesh,Reliance,No Bid,-,-
1,Bihar,Reliance,No Bid,-,-
1,Orissa,Reliance,No Bid,-,-
1,Assam,Reliance,No Bid,-,-
1,North East,Reliance,No Bid,-,-
1,Jammu & Kashmir,Reliance,No Bid,-,-
1,Delhi,Spice,Bid,-,-
1,Mumbai,Spice,Bid,-,-
1,Kolkata,Spice,No Bid,-,-
1,Maharashtra,Spice,No Bid,-,-
1,Gujarat,Spice,No Bid,-,-
1,Andhra Pradesh,Spice,No Bid,-,-
1,Karnataka,Spice,No Bid,-,-
1,Tamil Nadu,Spice,No Bid,-,-
1,Kerala,Spice,No Bid,-,-
1,Punjab,Spice,No Bid,-,-
1,Haryana,Spice,No Bid,-,-
1,Uttar Pradesh (East),Spice,No Bid,-,-
1,Uttar Pradesh (West),Spice,No Bid,-,-
1,Rajasthan,Spice,No Bid,-,-
1,Madhya Pradesh,Spice,No Bid,-,-
1,West Bengal,Spice,No Bid,-,-
1,Himachal Pradesh,Spice,No Bid,-,-
1,Bihar,Spice,No Bid,-,-
1,Orissa,Spice,No Bid,-,-
1,Assam,Spice,No Bid,-,-
1,North East,Spice,No Bid,-,-
1,Jammu & Kashmir,Spice,No Bid,-,-
1,Delhi,Tata,Bid,-,-
1,Mumbai,Tata,Bid,-,-
1,Kolkata,Tata,Bid,60,2
1,Maharashtra,Tata,Bid,160,2
1,Gujarat,Tata,Bid,160,2
1,Andhra Pradesh,Tata,Bid,160,2
1,Karnataka,Tata,Bid,160,2
1,Tamil Nadu,Tata,Bid,160,2
1,Kerala,Tata,Bid,60,2
1,Punjab,Tata,Bid,-,-
1,Haryana,Tata,No Bid,-,-
1,Uttar Pradesh (East),Tata,Bid,-,-
1,Uttar Pradesh (West),Tata,Bid,-,-
1,Rajasthan,Tata,No Bid,-,-
1,Madhya Pradesh,Tata,No Bid,-,-
1,West Bengal,Tata,No Bid,-,-
1,Himachal Pradesh,Tata,No Bid,-,-
1,Bihar,Tata,No Bid,-,-
1,Orissa,Tata,No Bid,-,-
1,Assam,Tata,No Bid,-,-
1,North East,Tata,No Bid,-,-
1,Jammu & Kashmir,Tata,No Bid,-,-
1,Delhi,Tikona,Bid,-,-
1,Mumbai,Tikona,Bid,-,-
1,Kolkata,Tikona,No Bid,-,-
1,Maharashtra,Tikona,No Bid,-,-
1,Gujarat,Tikona,No Bid,-,-
1,Andhra Pradesh,Tikona,Bid,-,-
1,Karnataka,Tikona,Bid,-,-
1,Tamil Nadu,Tikona,Bid,-,-
1,Kerala,Tikona,No Bid,-,-
1,Punjab,Tikona,No Bid,-,-
1,Haryana,Tikona,No Bid,-,-
1,Uttar Pradesh (East),Tikona,No Bid,-,-
1,Uttar Pradesh (West),Tikona,No Bid,-,-
1,Rajasthan,Tikona,No Bid,-,-
1,Madhya Pradesh,Tikona,No Bid,-,-
1,West Bengal,Tikona,Bid,60,2
1,Himachal Pradesh,Tikona,No Bid,-,-
1,Bihar,Tikona,No Bid,-,-
1,Orissa,Tikona,No Bid,-,-
1,Assam,Tikona,No Bid,-,-
1,North East,Tikona,No Bid,-,-
1,Jammu & Kashmir,Tikona,No Bid,-,-
1,Delhi,Vodafone,Bid,-,-
1,Mumbai,Vodafone,No Bid,-,-
1,Kolkata,Vodafone,No Bid,-,-
1,Maharashtra,Vodafone,No Bid,-,-
1,Gujarat,Vodafone,No Bid,-,-
1,Andhra Pradesh,Vodafone,No Bid,-,-
1,Karnataka,Vodafone,Bid,-,-
1,Tamil Nadu,Vodafone,No Bid,-,-
1,Kerala,Vodafone,No Bid,-,-
1,Punjab,Vodafone,No Bid,-,-
1,Haryana,Vodafone,No Bid,-,-
1,Uttar Pradesh (East),Vodafone,No Bid,-,-
1,Uttar Pradesh (West),Vodafone,No Bid,-,-
1,Rajasthan,Vodafone,No Bid,-,-
1,Madhya Pradesh,Vodafone,No Bid,-,-
1,West Bengal,Vodafone,No Bid,-,-
1,Himachal Pradesh,Vodafone,No Bid,-,-
1,Bihar,Vodafone,No Bid,-,-
1,Orissa,Vodafone,No Bid,-,-
1,Assam,Vodafone,No Bid,-,-
1,North East,Vodafone,No Bid,-,-
1,Jammu & Kashmir,Vodafone,No Bid,-,-
2,Delhi,Aircel,Bid,-,-
2,Mumbai,Aircel,Bid,-,-
2,Kolkata,Aircel,Bid,-,-
2,Maharashtra,Aircel,Bid,-,-
2,Gujarat,Aircel,Bid,-,-
2,Andhra Pradesh,Aircel,Bid,-,-
2,Karnataka,Aircel,Bid,-,-
2,Tamil Nadu,Aircel,Bid,-,-
2,Kerala,Aircel,Bid,-,-
2,Punjab,Aircel,Bid,-,-
2,Haryana,Aircel,No Bid,-,-
2,Uttar Pradesh (East),Aircel,No Bid,-,-
2,Uttar Pradesh (West),Aircel,No Bid,-,-
2,Rajasthan,Aircel,No Bid,-,-
2,Madhya Pradesh,Aircel,No Bid,-,-
2,West Bengal,Aircel,No Bid,-,-
2,Himachal Pradesh,Aircel,No Bid,-,-
2,Bihar,Aircel,No Bid,-,-
2,Orissa,Aircel,No Bid,-,-
2,Assam,Aircel,No Bid,-,-
2,North East,Aircel,No Bid,-,-
2,Jammu & Kashmir,Aircel,No Bid,-,-
2,Delhi,Augere,No Bid,-,-
2,Mumbai,Augere,No Bid,-,-
