Clock_Round,Service_Area,Band,Bidder,bid_decision,No. of Block(s) Selected,prov_win_bid,Provisionally Allocated Block(s) at end of Clock Round,prov_rank
1,Andhra Pradesh,800,Vodafone,no,0,0,0,0
1,Andhra Pradesh,800,Aircel,no,0,0,0,0
1,Andhra Pradesh,800,Idea,no,0,0,0,0
1,Andhra Pradesh,800, Tata Tele,no,0,0,0,0
1,Andhra Pradesh,800,RCL,no,0,0,0,0
1,Andhra Pradesh,800,Telewings,no,0,0,0,0
1,Andhra Pradesh,800,Bharti,no,0,0,0,0
1,Andhra Pradesh,800,Jio,no,0,0,0,0
1,Andhra Pradesh,900,Vodafone,no,0,0,0,0
1,Andhra Pradesh,900,Aircel,no,0,0,0,0
1,Andhra Pradesh,900,Idea,Bid,25,91.8,25,1
1,Andhra Pradesh,900, Tata Tele,Bid,25,91.8,0,0
1,Andhra Pradesh,900,RCL,no,0,0,0,0
1,Andhra Pradesh,900,Telewings,no,0,0,0,0
1,Andhra Pradesh,900,Bharti,Bid,25,91.8,25,2
1,Andhra Pradesh,900,Jio,Bid,25,91.8,0,0
1,Andhra Pradesh,1800,Vodafone,no,0,0,0,0
1,Andhra Pradesh,1800,Aircel,no,0,0,0,0
1,Andhra Pradesh,1800,Idea,no,0,0,0,0
1,Andhra Pradesh,1800, Tata Tele,no,0,0,0,0
1,Andhra Pradesh,1800,RCL,no,0,0,0,0
1,Andhra Pradesh,1800,Telewings,Bid,19,33.8,19,1
1,Andhra Pradesh,1800,Bharti,Bid,6,33.8,0,0
1,Andhra Pradesh,1800,Jio,no,0,0,0,0
1,Andhra Pradesh,2100,Vodafone,no,0,0,0,0
1,Andhra Pradesh,2100,Aircel,no,0,0,0,0
1,Andhra Pradesh,2100,Idea,no,0,0,0,0
1,Andhra Pradesh,2100, Tata Tele,no,0,0,0,0
1,Andhra Pradesh,2100,RCL,no,0,0,0,0
1,Andhra Pradesh,2100,Telewings,no,0,0,0,0
1,Andhra Pradesh,2100,Bharti,no,0,0,0,0
1,Andhra Pradesh,2100,Jio,no,0,0,0,0
1,Assam,800,Vodafone,Bid,4,35,4,1
1,Assam,800,Aircel,no,0,0,0,0
1,Assam,800,Idea,no,0,0,0,0
1,Assam,800, Tata Tele,no,0,0,0,0
1,Assam,800,RCL,no,0,0,0,0
1,Assam,800,Telewings,no,0,0,0,0
1,Assam,800,Bharti,Bid,4,35,4,2
1,Assam,800,Jio,no,0,0,0,0
1,Assam,900,Vodafone,no,0,0,0,0
1,Assam,900,Aircel,no,0,0,0,0
1,Assam,900,Idea,Bid,25,14.8,25,1
1,Assam,900, Tata Tele,no,0,0,0,0
1,Assam,900,RCL,Bid,25,14.8,0,0
1,Assam,900,Telewings,no,0,0,0,0
1,Assam,900,Bharti,Bid,6,14.8,6,2
1,Assam,900,Jio,no,0,0,0,0
1,Assam,2100,Vodafone,Bid,1,145,0,0
1,Assam,2100,Aircel,no,0,0,0,0
1,Assam,2100,Idea,Bid,1,145,1,1
1,Assam,2100, Tata Tele,no,0,0,0,0
1,Assam,2100,RCL,no,0,0,0,0
1,Assam,2100,Telewings,no,0,0,0,0
1,Assam,2100,Bharti,no,0,0,0,0
1,Assam,2100,Jio,no,0,0,0,0
1,Bihar,800,Vodafone,no,0,0,0,0
1,Bihar,800,Aircel,no,0,0,0,0
1,Bihar,800,Idea,no,0,0,0,0
1,Bihar,800, Tata Tele,no,0,0,0,0
1,Bihar,800,RCL,no,0,0,0,0
1,Bihar,800,Telewings,no,0,0,0,0
1,Bihar,800,Bharti,no,0,0,0,0
1,Bihar,800,Jio,no,0,0,0,0
1,Bihar,900,Vodafone,no,0,0,0,0
1,Bihar,900,Aircel,no,0,0,0,0
1,Bihar,900,Idea,Bid,25,29.6,25,1
1,Bihar,900, Tata Tele,no,0,0,0,0
1,Bihar,900,RCL,no,0,0,0,0
1,Bihar,900,Telewings,no,0,0,0,0
1,Bihar,900,Bharti,Bid,6,29.6,6,2
1,Bihar,900,Jio,Bid,25,29.6,0,0
1,Bihar,1800,Vodafone,no,0,0,0,0
1,Bihar,1800,Aircel,no,0,0,0,0
1,Bihar,1800,Idea,no,0,0,0,0
1,Bihar,1800, Tata Tele,no,0,0,0,0
1,Bihar,1800,RCL,no,0,0,0,0
1,Bihar,1800,Telewings,no,0,0,0,0
1,Bihar,1800,Bharti,no,0,0,0,0
1,Bihar,1800,Jio,no,0,0,0,0
1,Delhi,800,Vodafone,no,0,0,0,0
1,Delhi,800,Aircel,no,0,0,0,0
1,Delhi,800,Idea,no,0,0,0,0
1,Delhi,800, Tata Tele,no,0,0,0,0
1,Delhi,800,RCL,no,0,0,0,0
1,Delhi,800,Telewings,no,0,0,0,0
1,Delhi,800,Bharti,no,0,0,0,0
1,Delhi,800,Jio,no,0,0,0,0
1,Delhi,2100,Vodafone,no,0,0,0,0
1,Delhi,2100,Aircel,no,0,0,0,0
1,Delhi,2100,Idea,no,0,0,0,0
1,Delhi,2100, Tata Tele,no,0,0,0,0
1,Delhi,2100,RCL,no,0,0,0,0
1,Delhi,2100,Telewings,no,0,0,0,0
1,Delhi,2100,Bharti,no,0,0,0,0
1,Delhi,2100,Jio,no,0,0,0,0
1,Gujarat,800,Vodafone,no,0,0,0,0
1,Gujarat,800,Aircel,no,0,0,0,0
1,Gujarat,800,Idea,no,0,0,0,0
1,Gujarat,800, Tata Tele,no,0,0,0,0
