Clock_Round,Service_Area,Band,Bidder,Last Bid Submitted at start of Clock Round (Rs. Crore),Provisionally Allocated Block(s) at start of Clock Round (In No.),Rank at start of Clock Round,bid_decision,No. of Block(s) Selecte d,prov_win_bid,Provisionall y Allocated Block(s) at end of Clock Round,prov_rank
1,Andhra Pradesh,700,Aircel,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,700,Bharti,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,700,Idea,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,700,RCL,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,700,Jio,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,700,Tata Tele,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,700,Vodafone,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,800,Aircel,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,800,Bharti,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,800,Idea,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,800,RCL,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,800,Jio,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,800,Tata Tele,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,800,Vodafone,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,1800,Aircel,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,1800,Bharti,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,1800,Idea,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,1800,RCL,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,1800,Jio,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,1800,Tata Tele,0,0,0,Bid,12,48.6,12,1
1,Andhra Pradesh,1800,Vodafone,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,2100,Aircel,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,2100,Bharti,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,2100,Idea,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,2100,RCL,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,2100,Jio,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,2100,Tata Tele,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,2100,Vodafone,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,2300,Aircel,0,0,0,0  no,0,0,0,0
1,Andhra Pradesh,2300,Bharti,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,1800,Jio,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,1800,Tata Tele,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,1800,Vodafone,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2100,Aircel,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2100,Bharti,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2100,Idea,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2100,RCL,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2100,Jio,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2100,Tata Tele,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2100,Vodafone,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2300,Aircel,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2300,Bharti,0,0,0,Bid,2,10,2,1
1,Himachal Pradesh,2300,Idea,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2300,RCL,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2300,Jio,0,0,0,Bid,1,10,0,0
1,Himachal Pradesh,2300,Tata Tele,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2300,Vodafone,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2500,Aircel,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2500,Bharti,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2500,Idea,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2500,RCL,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2500,Jio,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2500,Tata Tele,0,0,0,0  no,0,0,0,0
1,Himachal Pradesh,2500,Vodafone,0,0,0,0  no,0,0,0,0
1,J & K,700,Aircel,0,0,0,0  no,0,0,0,0
1,J & K,700,Bharti,0,0,0,0  no,0,0,0,0
1,J & K,700,Idea,0,0,0,0  no,0,0,0,0
1,J & K,700,RCL,0,0,0,0  no,0,0,0,0
1,J & K,700,Jio,0,0,0,0  no,0,0,0,0
1,J & K,700,Tata Tele,0,0,0,0  no,0,0,0,0
4,Karnataka,700,Idea,0,0,0,0  no,0,0,0,0
4,Karnataka,700,RCL,0,0,0,0  no,0,0,0,0
4,Karnataka,700,Jio,0,0,0,0  no,0,0,0,0
4,Karnataka,700,Tata Tele,0,0,0,0  no,0,0,0,0
4,Karnataka,700,Vodafone,0,0,0,0  no,0,0,0,0
4,Karnataka,800,Aircel,0,0,0,0  no,0,0,0,0
4,Karnataka,800,Bharti,0,0,0,0  no,0,0,0,0
4,Karnataka,800,Idea,0,0,0,0  no,0,0,0,0
4,Karnataka,800,RCL,0,0,0,0  no,0,0,0,0
4,Karnataka,800,Jio,0,0,0,0  no,0,0,0,0
4,Karnataka,800,Tata Tele,0,0,0,0  no,0,0,0,0
4,Karnataka,800,Vodafone,0,0,0,0  no,0,0,0,0
4,Karnataka,1800,Aircel,0,0,0,0  no,0,0,0,0
4,Karnataka,1800,Bharti,0,0,0,0  no,0,0,0,0
4,Karnataka,1800,Idea,0,0,0,0  no,0,0,0,0
4,Karnataka,1800,RCL,0,0,0,0  no,0,0,0,0
4,Karnataka,1800,Jio,0,0,0,0  no,0,0,0,0
4,Karnataka,1800,Tata Tele,0,0,0,0  no,0,0,0,0
4,Karnataka,1800,Vodafone,0,0,0,0  no,0,0,0,0
4,Karnataka,2100,Aircel,0,0,0,0  no,0,0,0,0
4,Karnataka,2100,Bharti,0,0,0,0  no,0,0,0,0
4,Karnataka,2100,Idea,0,0,0,0  no,0,0,0,0
4,Karnataka,2100,RCL,0,0,0,0  no,0,0,0,0
4,Karnataka,2100,Jio,0,0,0,0  no,0,0,0,0
4,Karnataka,2100,Tata Tele,0,0,0,0  no,0,0,0,0
4,Karnataka,2100,Vodafone,0,0,0,0  no,0,0,0,0
4,Karnataka,2300,Aircel,0,0,0,0  no,0,0,0,0
4,Karnataka,2300,Bharti,980,1,0,1  no,0,980,1,1
4,Karnataka,2300,Idea,0,0,0,0  no,0,0,0,0
4,Karnataka,2300,RCL,0,0,0,0  no,0,0,0,0
4,Karnataka,2300,Jio,980,1,0,2  no,0,980,1,2
4,Karnataka,2300,Tata Tele,0,0,0,0  no,0,0,0,0
4,Karnataka,2300,Vodafone,0,0,0,0  no,0,0,0,0
4,Karnataka,2500,Aircel,0,0,0,0  no,0,0,0,0
4,Karnataka,2500,Bharti,0,0,0,0  no,0,0,0,0
4,Karnataka,2500,Idea,0,0,0,0  no,0,0,0,0
4,Karnataka,2500,RCL,0,0,0,0  no,0,0,0,0
4,Karnataka,2500,Jio,0,0,0,0  no,0,0,0,0
4,Karnataka,2500,Tata Tele,0,0,0,0  no,0,0,0,0
4,Karnataka,2500,Vodafone,0,0,0,0  no,0,0,0,0
4,Kerala,700,Aircel,0,0,0,0  no,0,0,0,0
4,Kerala,700,Bharti,0,0,0,0  no,0,0,0,0
4,Kerala,700,Idea,0,0,0,0  no,0,0,0,0
4,Kerala,700,RCL,0,0,0,0  no,0,0,0,0
4,Kerala,700,Jio,0,0,0,0  no,0,0,0,0
4,Kerala,700,Tata Tele,0,0,0,0  no,0,0,0,0
4,Kerala,700,Vodafone,0,0,0,0  no,0,0,0,0
4,Kerala,800,Aircel,0,0,0,0  no,0,0,0,0
4,Kerala,800,Bharti,0,0,0,0  no,0,0,0,0
4,Kerala,800,Idea,0,0,0,0  no,0,0,0,0
4,Kerala,800,RCL,0,0,0,0  no,0,0,0,0
4,Kerala,800,Jio,0,0,0,0  no,0,0,0,0
4,Kerala,800,Tata Tele,0,0,0,0  no,0,0,0,0
4,Kerala,800,Vodafone,0,0,0,0  no,0,0,0,0
4,Kerala,1800,Aircel,0,0,0,0  no,0,0,0,0
4,Kerala,1800,Bharti,0,0,0,0  no,0,0,0,0
4,Kerala,1800,Idea,0,0,0,0  no,0,0,0,0
4,Kerala,1800,RCL,0,0,0,0  no,0,0,0,0
4,Kerala,1800,Jio,0,0,0,0  no,0,0,0,0
4,Kerala,1800,Tata Tele,0,0,0,0  no,0,0,0,0
4,Kerala,1800,Vodafone,16.6,3,0,1  no,0,16.6,3,1
4,Kerala,2100,Aircel,0,0,0,0  no,0,0,0,0
4,Kerala,2100,Bharti,885,1,0,1  no,0,885,1,1
4,Kerala,2100,Idea,0,0,0,0  no,0,0,0,0
4,Kerala,2100,RCL,0,0,0,0  no,0,0,0,0
4,Kerala,2100,Jio,0,0,0,0  no,0,0,0,0
4,Kerala,2100,Tata Tele,0,0,0,0  no,0,0,0,0
4,Kerala,2100,Vodafone,0,0,0,0  no,0,0,0,0
4,Kerala,2300,Aircel,0,0,0,0  no,0,0,0,0
4,Kerala,2300,Bharti,0,0,0,Bid,1,169.68,1,1
4,Kerala,2300,Idea,168.84,2,0,1  no,0,0,0,0
4,Kerala,2300,RCL,0,0,0,0  no,0,0,0,0
4,Kerala,2300,Jio,0,0,0,Bid,1,169.68,1,2
4,Kerala,2300,Tata Tele,0,0,0,0  no,0,0,0,0
4,Kerala,2300,Vodafone,0,0,0,0  no,0,0,0,0
4,Kerala,2500,Aircel,0,0,0,0  no,0,0,0,0
4,Kerala,2500,Bharti,0,0,0,0  no,0,0,0,0
4,Kerala,2500,Idea,0,0,0,0  no,0,0,0,0
4,Kerala,2500,RCL,0,0,0,0  no,0,0,0,0
4,Kerala,2500,Jio,0,0,0,0  no,0,0,0,0
4,Kerala,2500,Tata Tele,0,0,0,0  no,0,0,0,0
4,Kerala,2500,Vodafone,160,2,0,1  no,0,160,2,1
4,Kolkata,700,Aircel,0,0,0,0  no,0,0,0,0
4,Kolkata,700,Bharti,0,0,0,0  no,0,0,0,0
4,Kolkata,700,Idea,0,0,0,0  no,0,0,0,0
4,Kolkata,700,RCL,0,0,0,0  no,0,0,0,0
4,Kolkata,700,Jio,0,0,0,0  no,0,0,0,0
4,Kolkata,700,Tata Tele,0,0,0,0  no,0,0,0,0
4,Kolkata,700,Vodafone,0,0,0,0  no,0,0,0,0
4,Kolkata,800,Aircel,0,0,0,0  no,0,0,0,0
4,Kolkata,800,Bharti,0,0,0,0  no,0,0,0,0
4,Kolkata,800,Idea,0,0,0,0  no,0,0,0,0
4,Kolkata,800,RCL,0,0,0,0  no,0,0,0,0
4,Kolkata,800,Jio,0,0,0,0  no,0,0,0,0
4,Kolkata,800,Tata Tele,0,0,0,0  no,0,0,0,0
4,Kolkata,800,Vodafone,0,0,0,0  no,0,0,0,0
4,Kolkata,1800,Aircel,0,0,0,0  no,0,0,0,0
4,Kolkata,1800,Bharti,29.94,10,0,Bid,15,30.08,15,1
4,Kolkata,1800,Idea,0,0,0,0  no,0,0,0,0
4,Kolkata,1800,RCL,0,0,0,0  no,0,0,0,0
4,Kolkata,1800,Jio,0,0,0,0  no,0,0,0,0
4,Kolkata,1800,Tata Tele,0,0,0,0  no,0,0,0,0
4,Kolkata,1800,Vodafone,29.94,10,0,1  no,0,29.94,5,2
4,Kolkata,2100,Aircel,0,0,0,0  no,0,0,0,0
4,Kolkata,2100,Bharti,0,0,0,0  no,0,0,0,0
4,Kolkata,2100,Idea,0,0,0,0  no,0,0,0,0
4,Kolkata,2100,RCL,0,0,0,0  no,0,0,0,0
4,Kolkata,2100,Jio,0,0,0,0  no,0,0,0,0
4,Kolkata,2100,Tata Tele,0,0,0,0  no,0,0,0,0
4,Kolkata,2100,Vodafone,0,0,0,0  no,0,0,0,0
4,Kolkata,2300,Aircel,0,0,0,0  no,0,0,0,0
4,Kolkata,2300,Bharti,330,1,0,1  no,0,330,1,1
4,Kolkata,2300,Idea,0,0,0,0  no,0,0,0,0
4,Kolkata,2300,RCL,0,0,0,0  no,0,0,0,0
4,Kolkata,2300,Jio,330,1,0,2  no,0,330,1,2
4,Kolkata,2300,Tata Tele,0,0,0,0  no,0,0,0,0
4,Kolkata,2300,Vodafone,0,0,0,0  no,0,0,0,0
4,Kolkata,2500,Aircel,0,0,0,0  no,0,0,0,0
4,Kolkata,2500,Bharti,0,0,0,0  no,0,0,0,0
4,Kolkata,2500,Idea,0,0,0,0  no,0,0,0,0
4,Kolkata,2500,RCL,0,0,0,0  no,0,0,0,0
4,Kolkata,2500,Jio,0,0,0,0  no,0,0,0,0
4,Kolkata,2500,Tata Tele,0,0,0,0  no,0,0,0,0
4,Kolkata,2500,Vodafone,330,2,0,1  no,0,330,2,1
4,Madhya Pradesh,700,Aircel,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,700,Bharti,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,700,Idea,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,700,RCL,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,700,Jio,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,700,Tata Tele,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,700,Vodafone,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,800,Aircel,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,800,Bharti,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,800,Idea,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,800,RCL,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,800,Jio,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,800,Tata Tele,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,800,Vodafone,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,1800,Aircel,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,1800,Bharti,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,1800,Idea,16.6,23,0,1  no,0,16.6,23,1
4,Madhya Pradesh,1800,RCL,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,1800,Jio,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,1800,Tata Tele,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,1800,Vodafone,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2100,Aircel,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2100,Bharti,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2100,Idea,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2100,RCL,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2100,Jio,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2100,Tata Tele,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2100,Vodafone,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2300,Aircel,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2300,Bharti,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2300,Idea,80.8,1,0,Bid,2,81.6,2,1
4,Madhya Pradesh,2300,RCL,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2300,Jio,80.8,1,0,1  no,0,0,0,0
4,Madhya Pradesh,2300,Tata Tele,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2300,Vodafone,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2500,Aircel,0,0,0,0  no,0,0,0,0
4,Madhya Pradesh,2500,Bharti,0,0,0,0  no,0,0,0,0
