Clock_Round,Service_Area,Band,Bidder,bid_decision,No of block(s ) selecte d,prov_win_bid,Provisi onally Allocat ed Block( s) at end of clock round,prov_rank
1,Andhra Pradesh,700,Bharti,No,0,0,0,0
1,Andhra Pradesh,700,Jio,No,0,0,0,0
1,Andhra Pradesh,700,Vodafone,No,0,0,0,0
1,Andhra Pradesh,800,Bharti,No,0,0,0,0
1,Andhra Pradesh,800,Jio,Bid,5,487.5,5,1
1,Andhra Pradesh,800,Vodafone,No,0,0,0,0
1,Andhra Pradesh,900,Bharti,No,0,0,0,0
1,Andhra Pradesh,900,Jio,No,0,0,0,0
1,Andhra Pradesh,900,Vodafone,No,0,0,0,0
1,Andhra Pradesh,1800,Bharti,No,0,0,0,0
1,Andhra Pradesh,1800,Jio,Bid,21,55.8,21,1
1,Andhra Pradesh,1800,Vodafone,No,0,0,0,0
1,Andhra Pradesh,2100,Bharti,No,0,0,0,0
1,Andhra Pradesh,2100,Jio,No,0,0,0,0
1,Andhra Pradesh,2100,Vodafone,No,0,0,0,0
1,Himachal Pradesh,2500,Vodafone,No,0,0,0,0
1,Jammu & Kashmir,700,Bharti,No,0,0,0,0
1,Jammu & Kashmir,700,Jio,No,0,0,0,0
1,Jammu & Kashmir,700,Vodafone,No,0,0,0,0
1,Jammu & Kashmir,800,Bharti,No,0,0,0,0
1,Jammu & Kashmir,800,Jio,No,0,0,0,0
1,Jammu & Kashmir,800,Vodafone,No,0,0,0,0
1,Jammu & Kashmir,1800,Bharti,Bid,50,3.4,50,1
1,Jammu & Kashmir,1800,Jio,No,0,0,0,0
1,Jammu & Kashmir,1800,Vodafone,No,0,0,0,0
1,Jammu & Kashmir,2100,Bharti,No,0,0,0,0
4,Maharashtra,2300,Bharti,No,0,720,1,2
4,Maharashtra,2300,Jio,No,0,720,1,1
4,Maharashtra,2300,Vodafone,No,0,0,0,0
4,Maharashtra,2500,Bharti,No,0,0,0,0
4,Maharashtra,2500,Jio,No,0,0,0,0
4,Maharashtra,2500,Vodafone,No,0,0,0,0
4,Mumbai,700,Bharti,No,0,0,0,0
4,Mumbai,700,Jio,No,0,0,0,0
4,Mumbai,700,Vodafone,No,0,0,0,0
4,Mumbai,800,Bharti,No,0,0,0,0
4,Mumbai,800,Jio,No,0,908.75,6,1
4,Mumbai,800,Vodafone,No,0,0,0,0
4,Mumbai,900,Bharti,No,0,0,0,0
4,Mumbai,900,Jio,No,0,0,0,0
4,Mumbai,900,Vodafone,No,0,0,0,0
4,Mumbai,1800,Bharti,No,0,0,0,0
4,Mumbai,1800,Jio,No,0,112.2,17,1
4,Mumbai,1800,Vodafone,No,0,0,0,0
4,Mumbai,2100,Bharti,No,0,0,0,0
4,Mumbai,2100,Jio,No,0,0,0,0
4,Mumbai,2100,Vodafone,No,0,0,0,0
4,Mumbai,2300,Bharti,No,0,0,0,0
4,Mumbai,2300,Jio,No,0,1670,1,1
4,Mumbai,2300,Vodafone,No,0,0,0,0
4,Mumbai,2500,Bharti,No,0,0,0,0
4,Mumbai,2500,Jio,No,0,0,0,0
4,Mumbai,2500,Vodafone,No,0,0,0,0
4,North East,700,Bharti,No,0,0,0,0
4,North East,700,Jio,No,0,0,0,0
4,North East,700,Vodafone,No,0,0,0,0
4,North East,800,Bharti,No,0,0,0,0
4,North East,800,Jio,No,0,0,0,0
4,North East,800,Vodafone,No,0,0,0,0
4,North East,900,Bharti,No,0,4.6,6,1
4,North East,900,Jio,No,0,0,0,0
4,North East,900,Vodafone,No,0,0,0,0
4,North East,1800,Bharti,No,0,0,0,0
4,North East,1800,Jio,No,0,3.4,18,1
4,North East,1800,Vodafone,No,0,0,0,0
4,North East,2100,Bharti,No,0,30,1,1
4,North East,2100,Jio,No,0,0,0,0
4,North East,2100,Vodafone,No,0,0,0,0
4,North East,2300,Bharti,No,0,10,1,2
4,North East,2300,Jio,No,0,10,1,1
4,North East,2300,Vodafone,No,0,0,0,0
4,Odisha,700,Bharti,No,0,0,0,0
4,Odisha,700,Jio,No,0,0,0,0
4,Odisha,700,Vodafone,No,0,0,0,0
4,Odisha,800,Bharti,No,0,0,0,0
4,Odisha,800,Jio,No,0,58.75,4,1
4,Odisha,800,Vodafone,No,0,0,0,0
4,Odisha,900,Bharti,No,0,17.2,19,1
4,Odisha,900,Jio,No,0,0,0,0
4,Odisha,900,Vodafone,No,0,0,0,0
4,Odisha,1800,Bharti,No,0,5.4,13,2
4,Odisha,1800,Jio,No,0,5.4,25,1
4,Odisha,1800,Vodafone,No,0,0,0,0
4,Odisha,2100,Bharti,No,0,0,0,0
4,Odisha,2100,Jio,No,0,0,0,0
4,Odisha,2100,Vodafone,No,0,0,0,0
4,Odisha,2300,Bharti,No,0,50,1,2
4,Odisha,2300,Jio,No,0,50,1,1
4,Odisha,2300,Vodafone,No,0,0,0,0
4,Punjab,700,Bharti,No,0,0,0,0
4,Punjab,700,Jio,No,0,0,0,0
4,Punjab,700,Vodafone,No,0,0,0,0
4,Punjab,800,Bharti,No,0,0,0,0
4,Punjab,800,Jio,No,0,196.25,5,1
4,Punjab,800,Vodafone,No,0,0,0,0
4,Punjab,1800,Bharti,No,0,17.6,25,1
4,Punjab,1800,Jio,No,0,17.6,24,2
4,Punjab,1800,Vodafone,No,0,0,0,0
4,Punjab,2100,Bharti,No,0,0,0,0
4,Punjab,2100,Jio,No,0,0,0,0
4,Punjab,2100,Vodafone,No,0,0,0,0
4,Punjab,2300,Bharti,No,0,210,2,2
4,Punjab,2300,Jio,No,0,210,2,1
4,Punjab,2300,Vodafone,No,0,0,0,0
4,Punjab,2500,Bharti,No,0,0,0,0
4,Punjab,2500,Jio,No,0,0,0,0
4,Punjab,2500,Vodafone,No,0,0,0,0
4,Rajasthan,700,Bharti,No,0,0,0,0
4,Rajasthan,700,Jio,No,0,0,0,0
4,Rajasthan,700,Vodafone,No,0,0,0,0
4,Rajasthan,800,Bharti,No,0,0,0,0
4,Rajasthan,800,Jio,No,0,332.5,4,1
4,Rajasthan,800,Vodafone,No,0,0,0,0
4,Rajasthan,1800,Bharti,No,0,0,0,0
4,Rajasthan,1800,Jio,No,0,0,0,0
4,Rajasthan,1800,Vodafone,No,0,0,0,0
4,Rajasthan,2300,Bharti,No,0,60,2,2
4,Rajasthan,2300,Jio,No,0,60,2,1
4,Rajasthan,2300,Vodafone,No,0,0,0,0
4,Tamil Nadu,700,Bharti,No,0,0,0,0
4,Tamil Nadu,700,Jio,No,0,0,0,0
