Clock_Round,Service_Area,Band,Bidder,bid_decision,No of block( s) selecte d,prov_win_bid,Provisi onally Alloca ted Block( s) at end of clock round,prov_rank
1,Andhra Pradesh,26,Adani,Bid,1,28.5,1,3
1,Andhra Pradesh,26,Bharti,Bid,16,28.5,16,2
1,Andhra Pradesh,26,Jio,Bid,20,28.5,20,1
1,Andhra Pradesh,26,Vodafone,No,0,0,0,0
1,Andhra Pradesh,600,Adani,No,0,0,0,0
1,Andhra Pradesh,600,Bharti,No,0,0,0,0
1,Andhra Pradesh,600,Jio,No,0,0,0,0
1,Andhra Pradesh,600,Vodafone,No,0,0,0,0
1,Andhra Pradesh,700,Adani,No,0,0,0,0
1,Andhra Pradesh,700,Bharti,No,0,0,0,0
1,Bihar,2500,Vodafone,No,0,0,0,0
1,Bihar,3300,Adani,No,0,0,0,0
1,Bihar,3300,Bharti,Bid,10,120,10,2
1,Bihar,3300,Jio,Bid,10,120,10,1
1,Bihar,3300,Vodafone,Bid,5,120,5,3
1,Delhi,26,Adani,No,0,0,0,0
1,Delhi,26,Bharti,Bid,16,44.5,16,2
1,Delhi,26,Jio,Bid,20,44.5,20,1
1,Delhi,26,Vodafone,No,0,0,0,0
1,Delhi,600,Adani,No,0,0,0,0
1,Delhi,600,Bharti,No,0,0,0,0
1,Delhi,600,Jio,No,0,0,0,0
1,Delhi,600,Vodafone,No,0,0,0,0
1,Delhi,700,Adani,No,0,0,0,0
1,Delhi,700,Bharti,No,0,0,0,0
1,Delhi,700,Jio,Bid,2,2545,2,1
1,Delhi,700,Vodafone,No,0,0,0,0
1,Delhi,800,Adani,No,0,0,0,0
1,Delhi,800,Bharti,No,0,0,0,0
1,Delhi,800,Jio,No,0,0,0,0
1,Delhi,800,Vodafone,No,0,0,0,0
1,Delhi,900,Adani,No,0,0,0,0
1,Delhi,900,Bharti,No,0,0,0,0
1,Delhi,900,Jio,No,0,0,0,0
1,Delhi,900,Vodafone,No,0,0,0,0
1,Delhi,1800,Adani,No,0,0,0,0
1,Delhi,1800,Bharti,No,0,0,0,0
1,Delhi,1800,Jio,No,0,0,0,0
1,Delhi,1800,Vodafone,No,0,0,0,0
1,Delhi,2100,Adani,No,0,0,0,0
1,Delhi,2100,Bharti,Bid,1,1120,1,1
1,Delhi,2100,Jio,No,0,0,0,0
1,Delhi,2100,Vodafone,No,0,0,0,0
1,Delhi,2300,Adani,No,0,0,0,0
1,Delhi,2300,Bharti,No,0,0,0,0
1,Delhi,2300,Jio,No,0,0,0,0
1,Delhi,2300,Vodafone,No,0,0,0,0
1,Delhi,2500,Adani,No,0,0,0,0
1,Delhi,2500,Bharti,No,0,0,0,0
1,Delhi,2500,Jio,No,0,0,0,0
1,Delhi,2500,Vodafone,No,0,0,0,0
1,Delhi,3300,Adani,No,0,0,0,0
1,Delhi,3300,Bharti,Bid,10,400,10,2
1,Delhi,3300,Jio,Bid,10,400,10,1
1,Delhi,3300,Vodafone,Bid,5,400,5,3
1,Gujarat,26,Adani,Bid,2,25,2,3
1,Gujarat,26,Bharti,Bid,16,25,16,2
1,Gujarat,26,Jio,Bid,20,25,20,1
1,Gujarat,26,Vodafone,No,0,0,0,0
1,Gujarat,600,Adani,No,0,0,0,0
1,Gujarat,600,Bharti,No,0,0,0,0
1,Gujarat,600,Jio,No,0,0,0,0
1,Gujarat,600,Vodafone,No,0,0,0,0
1,Gujarat,700,Adani,No,0,0,0,0
1,Gujarat,700,Bharti,No,0,0,0,0
1,Gujarat,700,Jio,Bid,2,1410,2,1
1,Gujarat,700,Vodafone,No,0,0,0,0
1,Gujarat,800,Adani,No,0,0,0,0
1,Gujarat,800,Bharti,No,0,0,0,0
1,Gujarat,800,Jio,No,0,0,0,0
1,Gujarat,800,Vodafone,No,0,0,0,0
1,Gujarat,900,Adani,No,0,0,0,0
1,Gujarat,900,Bharti,No,0,0,0,0
1,Gujarat,900,Jio,No,0,0,0,0
1,Gujarat,900,Vodafone,No,0,0,0,0
1,Gujarat,1800,Adani,No,0,0,0,0
1,Gujarat,1800,Bharti,No,0,0,0,0
1,Gujarat,1800,Jio,Bid,50,30,50,1
1,Gujarat,1800,Vodafone,No,0,0,0,0
1,Gujarat,2100,Adani,No,0,0,0,0
1,Gujarat,2100,Bharti,Bid,1,625,1,1
1,Gujarat,2100,Jio,No,0,0,0,0
1,Gujarat,2100,Vodafone,No,0,0,0,0
1,Gujarat,2500,Adani,No,0,0,0,0
1,Gujarat,2500,Bharti,No,0,0,0,0
1,Gujarat,2500,Jio,No,0,0,0,0
1,Gujarat,2500,Vodafone,No,0,0,0,0
1,Gujarat,3300,Adani,No,0,0,0,0
1,Gujarat,3300,Bharti,Bid,10,230,10,2
1,Gujarat,3300,Jio,Bid,10,230,10,1
1,Gujarat,3300,Vodafone,Bid,5,230,5,3
1,Haryana,26,Adani,No,0,0,0,0
1,Haryana,26,Bharti,Bid,16,6.5,16,2
1,Haryana,26,Jio,Bid,20,6.5,20,1
1,Haryana,26,Vodafone,No,0,0,0,0
1,Haryana,600,Adani,No,0,0,0,0
1,Haryana,600,Bharti,No,0,0,0,0
1,Haryana,600,Jio,No,0,0,0,0
1,Haryana,600,Vodafone,No,0,0,0,0
1,Haryana,700,Adani,No,0,0,0,0
1,Haryana,700,Bharti,No,0,0,0,0
1,Haryana,700,Jio,Bid,2,355,2,1
1,Haryana,700,Vodafone,No,0,0,0,0
1,Haryana,800,Adani,No,0,0,0,0
1,Haryana,800,Bharti,No,0,0,0,0
1,Haryana,800,Jio,No,0,0,0,0
1,Haryana,800,Vodafone,No,0,0,0,0
1,Haryana,900,Adani,No,0,0,0,0
1,Haryana,900,Bharti,No,0,0,0,0
1,Haryana,900,Jio,No,0,0,0,0
1,Haryana,900,Vodafone,No,0,0,0,0
1,Haryana,1800,Adani,No,0,0,0,0
1,Haryana,1800,Bharti,No,0,0,0,0
1,Haryana,1800,Jio,No,0,0,0,0
1,Haryana,1800,Vodafone,No,0,0,0,0
1,Haryana,2100,Adani,No,0,0,0,0
1,Haryana,2100,Bharti,Bid,1,170,1,1
1,Haryana,2100,Jio,No,0,0,0,0
1,Haryana,2100,Vodafone,No,0,0,0,0
