LSA,2010-2100,2010-2300,2012-1800,2013-800,2014-1800,2014-900,2015-1800,2015-900,2015-800,2015-2100,2016-800,2016-1800,2016-2100,2016-2300,2016-2500,2021-800,2021-900,2021-1800,2021-2100,2021-2300,2022-700,2022-800,2022-900,2022-1800,2022-2100,2022-2300,2022-2500,2022-3300,2022-26G,2024-900,2024-1800,2024-2100,2024-2300,2024-2500
Andhra Pradesh,3,2,11,2,113,0,19,70,5,1,6,22,4,2,4,11,15,63,3,2,5,8,22,62,3,1,3,33,57,22,45,3,1,0
Assam,3,2,11,4,57,0,0,31,9,1,0,99,3,2,2,2,23,15,2,2,5,4,22,12,1,0,0,33,57,34,43,1,0,0
Bihar,4,2,11,4,21,0,10,31,4,0,2,61,4,2,2,10,46,43,1,2,5,8,28,5,1,0,1,33,57,59,51,0,0,1
Delhi,3,2,8,3,114,16,0,0,3,1,2,64,4,2,4,10,5,77,3,2,5,5,4,55,3,1,2,33,57,4,55,2,1,0
Gujarat,3,2,11,4,60,0,17,70,2,1,5,65,3,2,4,5,15,89,2,2,5,3,8,70,2,0,1,33,57,8,20,1,0,0
Haryana,3,2,11,4,82,0,40,62,6,1,1,37,3,0,2,8,1,97,1,4,5,3,23,142,1,0,0,33,57,23,142,0,0,0
Himachal Pradesh,4,2,11,4,102,0,51,62,7,0,3,57,4,2,2,8,23,95,3,2,5,6,17,91,3,0,1,33,57,17,66,3,0,1
Jammu & Kashmir,4,2,11,4,31,0,0,0,7,0,0,160,3,0,2,2,0,70,1,4,5,4,31,21,1,0,1,33,57,67,30,1,0,1
Karnataka,3,2,11,4,123,0,9,70,1,1,2,21,3,2,4,11,16,105,2,2,5,5,23,24,2,1,4,33,57,23,24,1,1,2
Kerala,3,2,11,4,140,0,5,62,0,1,2,10,3,2,2,11,23,82,1,2,5,5,7,117,1,0,0,33,57,7,127,0,0,0
Kolkata,3,2,11,3,134,14,35,0,1,1,2,20,3,2,4,10,15,72,2,2,5,4,14,118,2,1,2,33,57,14,93,2,1,0
Madhya Pradesh,3,2,11,4,96,0,0,62,5,1,2,23,3,2,2,10,23,75,2,2,5,4,22,56,2,0,0,33,57,22,6,2,0,0
Maharashtra,3,2,11,3,70,0,0,70,3,1,6,67,3,2,4,12,15,111,1,2,5,4,14,87,1,0,1,33,57,14,12,1,0,0
Mumbai,3,2,8,3,126,16,0,0,6,1,4,25,4,2,4,8,5,78,2,2,5,4,4,112,2,1,2,33,57,4,92,2,1,0
North East,3,2,11,4,134,0,42,44,9,1,0,46,3,2,2,2,19,0,2,2,5,4,20,2,1,0,0,33,57,22,11,1,0,0
Orissa,3,2,11,4,140,0,81,31,6,1,3,7,4,2,2,9,23,29,2,2,5,7,11,76,2,0,0,33,57,42,44,2,0,0
Punjab,4,2,11,2,92,0,8,78,3,0,5,77,3,0,2,9,0,97,1,4,5,6,6,49,1,0,1,33,57,6,49,1,0,0
Rajasthan,3,2,11,0,104,0,52,62,0,1,6,55,3,0,2,6,0,84,0,4,5,4,22,85,0,0,0,33,57,22,35,0,0,0
Tamil Nadu,3,2,11,4,151,0,95,0,1,1,2,0,3,2,4,11,85,88,0,2,5,5,42,7,0,1,4,33,57,42,17,0,1,2
Uttar Pradesh (East),3,2,11,4,49,0,21,31,3,1,3,27,3,0,2,10,26,75,0,4,5,8,0,54,0,0,0,33,57,31,5,0,0,0
Uttar Pradesh (West),3,2,11,4,12,0,11,31,1,1,2,73,3,0,2,10,6,97,2,4,5,4,28,74,2,0,0,33,57,59,74,2,0,0
West Bengal,4,2,11,4,65,0,0,22,1,0,1,92,3,2,2,9,23,26,2,2,5,4,4,17,1,0,0,33,57,48,66,0,0,0
