service_area,RP_2100_2010,WP_2100_2010,RP_2300_2010,WP_2300_2010,RP_1800_2012,WP_1800_2012,RP_800_2012,WP_800_2012,RP_1800_2013,WP_1800_2013,RP_900_2013,WP_900_2013,RP_800_2013,WP_800_2013,RP_1800_2014,WP_1800_2014,RP_900_2014,WP_900_2014,RP_2100_2015,WP_2100_2015,RP_1800_2015,WP_1800_2015,RP_900_2015,WP_900_2015,RP_800_2015,WP_800_2015,RP_2500_2016,WP_2500_2016,RP_2300_2016,WP_2300_2016,RP_2100_2016,WP_2100_2016,RP_1800_2016,WP_1800_2016,RP_900_2016,WP_900_2016,RP_800_2016,WP_800_2016,RP_700_2016,WP_700_2016,RP_2500_2021,WP_2500_2021,RP_2300_2021,WP_2300_2021,RP_2100_2021,WP_2100_2021,RP_1800_2021,WP_1800_2021,RP_900_2021,WP_900_2021,RP_800_2021,WP_800_2021,RP_700_2021,WP_700_2021,RP_26_2022,WP_26_2022,RP_3300_2022,WP_3300_2022,RP_2500_2022,WP_2500_2022,RP_2300_2022,WP_2300_2022,RP_2100_2022,WP_2100_2022,RP_1800_2022,WP_1800_2022,RP_900_2022,WP_900_2022,RP_800_2022,WP_800_2022,RP_700_2022,WP_700_2022,RP_600_2022,WP_600_2022
Andhra Pradesh,320,1373.14,160,1059.12,286.91,286.91,372.99,-1,0,0,0,0,186.5,-1,32.6,32.6,0,0,1375,-1,33.8,48.56,91.8,136.15,292.5,757.48,680,680,680,683.4,1360,-1,48.6,48.6,0,0,757.5,-1,4855,-1,780,-1,780,780,925,-1,55.8,55.8,83.4,-1,487.5,487.5,2785,-1,28.5,28.5,260,260,510,510,590,-1,710,-1,34.4,34.4,57.6,-1,365,-1,1590,1590,1590,-1
Assam,30,41.48,15,33.02,8.67,8.67,11.27,-1,0,0,0,0,5.64,-1,1.4,7.22,0,0,145,193.18,0,0,14.8,36.99,35,102.77,20,20,20,20,230,-1,8,8,0,0,0,0,790,-1,0,0,20,20,150,150,9.2,9.2,16.6,-1,80,-1,460,-1,5,5,50,50,0,0,0,-1,120,-1,6.4,-1,11.2,11.2,62.5,62.5,285,285,285,-1
Bihar,30,203.46,15,99.28,42.51,46.43,55.26,-1,0,0,0,0,27.63,-1,7.4,8.62,0,0,0,0,12.4,-1,29.6,88.86,106.25,107.31,60,60,60,61.5,430,430,12.4,12.4,88.8,-1,170,-1,1240,-1,70,-1,70,70,495,-1,17.6,17.6,40.2,40.2,170,170,875,-1,13.5,13.5,120,120,150,-1,0,-1,340,340,16.4,-1,29.4,-1,157.5,-1,725,725,725,-1
Delhi,320,3316.93,160,2241.02,693.06,-1,900.98,-1,485.15,-1,970.3,-1,450.49,450.49,43.8,72.8,360,740.96,3315,-1,0,0,0,0,771.25,1059.62,1430,1430,1430,1430,2770,2770,79.8,79.8,0,0,1060,-1,7975,-1,1640,-1,1640,1640,3175,-1,91.4,91.4,117,-1,800,800,4575,-1,44.5,44.5,400,400,860,-1,1040,-1,1120,1120,54,-1,87.2,-1,598.75,-1,2545,2545,2545,-1
Gujarat,320,1076.06,160,613.85,224.84,224.84,292.29,-1,0,0,0,0,146.15,146.15,28.6,47.56,0,0,1290,1290,47.6,47.6,84.8,134.6,343.75,347.18,390,390,390,611.88,1290,-1,47.6,47.6,134.6,-1,356.25,419.3,4760,-1,450,-1,700,700,905,-1,54.6,54.6,74.6,74.6,481.25,481.25,2730,-1,25,25,230,230,440,-1,0,-1,625,625,30,-1,79.8,-1,327.5,-1,1410,1410,1410,-1
Haryana,120,222.58,60,119.9,46.52,46.52,60.47,-1,0,0,0,0,30.24,-1,5.4,5.4,0,0,230,230,6.4,9.32,15.2,30.24,47.5,70.71,80,80,0,0,275,275,9.4,9.86,0,0,71.25,-1,930,-1,0,0,80,80,315,-1,11.4,11.4,20.4,-1,71.25,71.25,565,-1,6.5,6.5,60,60,0,0,0,-1,170,170,8.2,-1,13.6,-1,77.5,-1,355,355,355,-1
Himachal Pradesh,30,37.23,15,20.66,7.78,7.78,10.11,-1,0,0,0,0,5.06,-1,1.2,1.2,0,0,0,0,1.8,3.18,5.4,11.49,23.75,24.46,10,10,10,10,100,-1,3.2,3.2,0,0,30,-1,320,-1,10,-1,10,10,60,-1,3.6,3.6,7.4,7.4,30,30,185,-1,2.5,2.5,20,20,30,-1,0,-1,60,-1,2.8,2.8,5.2,-1,27.5,-1,130,130,130,-1
Jammu & Kashmir,30,30.3,15,21.27,6.33,6.33,8.23,-1,0,0,0,0,4.11,-1,1,1.22,0,0,0,0,0,0,0,0,35,35.35,10,10,0,0,55,55,2.6,2.6,0,0,0,0,260,-1,10,-1,10,10,65,-1,3.4,3.4,0,0,18.75,-1,170,-1,1.5,1.5,10,10,20,-1,0,-1,40,-1,1.8,-1,3.2,3.2,17.5,17.5,80,80,80,-1
Karnataka,320,1579.91,160,1543.25,330.12,-1,429.16,-1,231.08,-1,0,0,214.58,214.58,31,31,0,0,1610,1642.36,37,37,74,111.5,378.75,-1,980,-1,980,980,1640,-1,37,-1,0,0,378.75,-1,3700,-1,980,-1,1120,1120,455,-1,21.8,21.8,47.6,-1,240,240,1095,-1,20,20,180,180,470,-1,640,-1,500,500,24.2,-1,40.8,-1,247.5,-1,1100,1100,1100,-1
Kerala,120,312.48,60,258.67,65.3,65.3,84.89,-1,0,0,0,0,42.45,42.45,10.4,10.4,0,0,555,588.57,15,-1,33.6,73.88,0,0,160,160.8,160,175.67,885,885,16.6,16.6,0,0,303.75,-1,1670,-1,0,0,200,200,1015,-1,19,19,39.8,39.8,196.25,196.25,950,-1,9.5,9.5,90,90,0,0,0,-1,240,240,11.6,-1,42.6,-1,128.75,-1,550,550,550,-1
Kolkata,120,544.26,60,523.2,113.72,113.72,147.84,-1,0,0,227.44,-1,73.92,73.92,14.6,14.6,125,194.63,545,577.97,14.6,29.82,0,0,183.75,183.75,330,330,330,330,580,-1,29.8,30.23,0,0,200,-1,2980,-1,380,-1,380,380,575,-1,34.6,34.6,44.2,-1,200,200,1735,-1,16,16,150,150,280,-1,320,-1,400,-1,19.4,19.4,30.6,-1,191.25,-1,865,865,865,-1
Madhya Pradesh,120,258.36,60,124.66,53.99,53.99,70.18,-1,0,0,0,0,35.09,-1,8.6,10.08,0,0,435,456.75,0,0,35,61.9,113.75,510.49,80,80,80,82,615,-1,16.6,16.6,0,0,510,-1,1655,-1,0,-1,90,90,340,-1,19,19,39,-1,178.75,178.75,950,-1,14.5,14.5,130,130,0,0,0,-1,365,-1,17.6,17.6,31.2,-1,170,-1,780,780,780,-1
Maharashtra,320,1257.82,160,915.64,262.81,262.81,341.66,-1,0,0,0,0,170.83,-1,34.6,58.07,0,0,1505,1505,0,0,105,154.6,423.75,999.27,580,580,580,630.61,1705,1705,63.6,63.6,0,0,998.75,-1,6360,-1,660,-1,720,720,1955,-1,73,73,104.6,-1,637.5,637.5,3645,-1,31.5,31.5,290,290,530,-1,0,-1,790,-1,38,38,63.4,-1,422.5,-1,1795,1795,1795,-1
Mumbai,320,3247.07,160,2292.95,678.45,-1,881.99,-1,474.92,-1,949.84,-1,441,-1,41.4,54.4,328,563.09,3245,-1,0,0,0,0,548.75,909.37,1460,1460,1460,1460,2305,2305,59.6,97.84,0,0,908.75,-1,5960,-1,1670,-1,1670,1670,2640,-1,112.2,112.2,138.2,-1,908.75,908.75,5610,-1,39,39,350,350,810,-1,1030,-1,980,-1,47.2,47.2,77.8,-1,585,-1,2350,2350,2350,-1
North East,30,42.3,15,21.27,8.84,8.84,11.49,-1,0,0,0,0,5.75,-1,1.4,1.4,0,0,40,55.35,2.2,2.2,5.8,10.38,13.75,31.72,10,10,10,10,60,-1,2.2,2.2,0,0,0,0,220,-1,0,0,10,10,30,30,3.4,3.4,4.6,4.6,18.75,-1,170,-1,1.5,1.5,10,10,0,0,0,-1,25,-1,1.6,-1,2.8,2.8,16.25,16.25,75,75,75,-1
Orissa,30,96.98,15,63.63,20.27,20.27,26.35,-1,0,0,0,0,13.18,-1,3.2,3.2,0,0,165,180.26,4.6,6.62,13.4,27.8,47.5,51.3,40,40,40,40,190,190,7.6,-1,0,0,71.25,-1,760,-1,0,0,50,50,220,-1,5.4,5.4,17.2,17.2,58.75,58.75,270,-1,6,6,50,50,0,0,0,-1,145,-1,7,7,12.8,-1,67.5,-1,310,310,310,-1
Punjab,120,322.01,60,332.27,67.28,67.28,87.47,-1,0,0,0,0,43.74,-1,10.8,10.8,0,0,0,0,14.2,14.2,30.2,72.15,106.25,107.31,210,210,0,0,455,455,15.4,15.4,0,0,148.75,170.9,1540,-1,240,-1,210,210,520,-1,17.6,17.6,0,0,196.25,196.25,885,-1,10,10,90,90,140,140,0,-1,255,-1,12.2,-1,20.8,-1,126.25,-1,560,560,560,-1
Rajasthan,120,321.03,60,97.32,67.08,-1,87.2,-1,46.96,-1,0,0,0,0,5.2,5.2,0,0,435,699.12,12,14.55,39.4,141.73,0,0,60,60,0,0,700,700,18.2,18.38,0,0,255,290,1820,-1,0,0,60,60,0,0,21,-1,0,0,332.5,332.5,1055,-1,12.5,12.5,110,110,0,0,0,-1,0,-1,15,15,27,-1,177.5,-1,730,730,730,-1
Tamil Nadu,320,1464.94,160,2069.45,306.09,306.09,397.92,-1,0,0,0,0,198.96,198.96,41.6,41.6,0,0,1720,1720,45,45,0,0,450,-1,1320,-1,1320,1320,1720,1720,0,0,0,0,450,-1,4500,-1,1320,-1,1510,1510,0,0,20,20,47,47,217.5,217.5,995,-1,23,23,210,210,580,-1,810,-1,0,-1,28.2,-1,44.4,-1,281.25,-1,1265,1265,1265,-1
Uttar Pradesh (East),120,364.57,60,142.5,76.17,76.17,99.02,-1,0,0,0,0,49.51,-1,12.2,12.8,0,0,430,451.5,19.4,-1,45.6,155.12,167.5,167.5,90,90,0,0,550,550,23,26.63,155.2,-1,273.75,273.8,2295,-1,0,0,90,90,0,0,30.6,30.6,52.4,52.4,313.75,313.75,1525,-1,15,15,140,140,0,0,0,-1,0,-1,18.2,32.92,0,-1,200,-1,855,855,855,-1
Uttar Pradesh (West),120,514.04,60,183.87,107.41,107.41,139.63,-1,0,0,0,0,69.82,69.82,12.4,18.99,0,0,515,525.35,19,19.19,34,147.71,118.75,118.75,120,120,0,0,555,-1,19.2,20.06,147.8,-1,227.5,-1,1920,-1,0,0,120,120,380,-1,23,23,42.2,-1,201.25,201.25,1150,-1,14.5,14.5,130,130,0,0,0,-1,360,-1,17.4,-1,30.4,-1,166.25,166.25,770,770,770,-1
West Bengal,120,123.63,60,70.97,25.84,25.84,33.59,-1,0,0,0,0,16.79,16.79,4.2,4.92,0,0,0,0,0,0,22.2,41.5,71.25,71.25,50,50,50,50,260,-1,9.2,-1,0,0,102.5,-1,915,-1,0,0,60,60,175,175,10.6,10.6,24.8,24.8,92.5,92.5,525,-1,9.5,9.5,90,90,0,0,0,-1,185,185,11.6,-1,19.8,-1,111.25,-1,510,510,510,-1
