,LSA,bw-700,years_left-700,bw-1800,bw-800,years_left-1800,years_left-800,bw-900,years_left-900,bw-2100,years_left-2100,bw-2300,years_left-2300,bw-2500,years_left-2500,bw-3300,years_left-3300,bw-26,years_left-26,2300 MHz band (unpaired),700 MHz band (paired),1800 MHz band (paired),2500 MHz band (unpaired),900 MHz band (paired),3300 MHz band (unpaired),2100 MHz band (paired),800 MHz band (paired),26 GHz band (unpaired)
0,Andhra Pradesh,0.0,0.0,5.8,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,15.9,9.65,2.55,14.4,1.456,7.1,14.6,0.032
1,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,15.9,9.65,2.55,14.4,1.456,7.1,14.6,0.032
2,Andhra Pradesh,0.0,0.0,4.2,6.15,17.0,17.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,15.9,9.65,2.55,14.4,1.456,7.1,14.6,0.032
3,Andhra Pradesh,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.0,1000.0,18.0,2.95,15.9,9.65,2.55,14.4,1.456,7.1,14.6,0.032
4,Assam,0.0,0.0,5.4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.85,1.6,0.1,3.15,0.27999999999999997,1.2,2.5,0.0055
5,Assam,0.0,0.0,0.0,4.92,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.85,1.6,0.1,3.15,0.27999999999999997,1.2,2.5,0.0055
6,Assam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.85,1.6,0.1,3.15,0.27999999999999997,1.2,2.5,0.0055
7,Assam,0.0,0.0,4.6,0.0,17.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.85,1.6,0.1,3.15,0.27999999999999997,1.2,2.5,0.0055
8,Assam,10.0,18.0,0.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.0,1000.0,18.0,0.1,2.85,1.6,0.1,3.15,0.27999999999999997,1.2,2.5,0.0055
9,Bihar,0.0,0.0,0.0,4.92,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,7.25,4.2025,0.75,7.35,0.6719999999999999,3.4,6.3,0.015
10,Bihar,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,7.25,4.2025,0.75,7.35,0.6719999999999999,3.4,6.3,0.015
11,Bihar,0.0,0.0,5.0,4.92,17.0,17.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,7.25,4.2025,0.75,7.35,0.6719999999999999,3.4,6.3,0.015
12,Bihar,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.0,1000.0,18.0,0.35,7.25,4.2025,0.75,7.35,0.6719999999999999,3.4,6.3,0.015
13,Bihar,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,7.25,4.2025,0.75,7.35,0.6719999999999999,3.4,6.3,0.015
14,Delhi,0.0,0.0,5.4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,25.45,13.5,4.3,21.8,2.2399999999999998,12.55,23.95,0.05
15,Delhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,25.45,13.5,4.3,21.8,2.2399999999999998,12.55,23.95,0.05
16,Delhi,0.0,0.0,4.6,8.61,17.0,17.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,25.45,13.5,4.3,21.8,2.2399999999999998,12.55,23.95,0.05
17,Delhi,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.0,1000.0,18.0,5.2,25.45,13.5,4.3,21.8,2.2399999999999998,12.55,23.95,0.05
18,Gujarat,0.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,14.1,8.4,2.2,19.95,1.288,7.0,13.1,0.028000000000000004
19,Gujarat,0.0,0.0,0.0,4.92,0.0,12.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,14.1,8.4,2.2,19.95,1.288,7.0,13.1,0.028000000000000004
20,Gujarat,0.0,0.0,4.0,4.92,17.0,17.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,14.1,8.4,2.2,19.95,1.288,7.0,13.1,0.028000000000000004
21,Gujarat,10.0,18.0,10.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.0,1000.0,18.0,3.5,14.1,8.4,2.2,19.95,1.288,7.0,13.1,0.028000000000000004
22,Haryana,0.0,0.0,4.0,4.92,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.55,2.05,0.4,3.4,0.33599999999999997,1.7,3.1,0.0075
23,Haryana,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.55,2.05,0.4,3.4,0.33599999999999997,1.7,3.1,0.0075
24,Haryana,0.0,0.0,5.0,4.92,17.0,17.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.55,2.05,0.4,3.4,0.33599999999999997,1.7,3.1,0.0075
25,Haryana,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.0,1000.0,18.0,0.4,3.55,2.05,0.4,3.4,0.33599999999999997,1.7,3.1,0.0075
26,Himachal Pradesh,0.0,0.0,5.4,4.92,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.3,0.8,0.15,1.3,0.11200000000000002,0.6,1.1,0.003
27,Himachal Pradesh,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.3,0.8,0.15,1.3,0.11200000000000002,0.6,1.1,0.003
28,Himachal Pradesh,0.0,0.0,0.0,4.92,0.0,17.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.3,0.8,0.15,1.3,0.11200000000000002,0.6,1.1,0.003
29,Himachal Pradesh,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,18.0,1000.0,18.0,0.05,1.3,0.8,0.15,1.3,0.11200000000000002,0.6,1.1,0.003
30,Jammu & Kashmir,0.0,0.0,0.0,4.92,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.8,0.45,0.1,0.9,0.05600000000000001,0.4,0.8,0.0015
31,Jammu & Kashmir,0.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.8,0.45,0.1,0.9,0.05600000000000001,0.4,0.8,0.0015
32,Jammu & Kashmir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.8,0.45,0.1,0.9,0.05600000000000001,0.4,0.8,0.0015
33,Jammu & Kashmir,10.0,18.0,0.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,18.0,1000.0,18.0,0.05,0.8,0.45,0.1,0.9,0.05600000000000001,0.4,0.8,0.0015
34,Karnataka,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,11.0,6.05,2.35,10.2,1.008,5.6,9.9,0.0225
35,Karnataka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,11.0,6.05,2.35,10.2,1.008,5.6,9.9,0.0225
36,Karnataka,0.0,0.0,5.0,9.84,17.0,17.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,11.0,6.05,2.35,10.2,1.008,5.6,9.9,0.0225
37,Karnataka,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,18.0,1000.0,18.0,3.2,11.0,6.05,2.35,10.2,1.008,5.6,9.9,0.0225
38,Kerala,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,2.9,0.8,10.65,0.504,2.4,5.15,0.0095
39,Kerala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,2.9,0.8,10.65,0.504,2.4,5.15,0.0095
40,Kerala,0.0,0.0,5.0,9.84,17.0,17.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,2.9,0.8,10.65,0.504,2.4,5.15,0.0095
41,Kerala,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,18.0,1000.0,18.0,1.0,5.5,2.9,0.8,10.65,0.504,2.4,5.15,0.0095
42,Kolkata,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,8.65,5.45,1.4,7.65,0.8400000000000001,4.0,7.65,0.018
43,Kolkata,0.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,8.65,5.45,1.4,7.65,0.8400000000000001,4.0,7.65,0.018
44,Kolkata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,8.65,5.45,1.4,7.65,0.8400000000000001,4.0,7.65,0.018
45,Kolkata,0.0,0.0,0.0,9.84,0.0,17.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,8.65,5.45,1.4,7.65,0.8400000000000001,4.0,7.65,0.018
46,Kolkata,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.0,1000.0,18.0,1.6,8.65,5.45,1.4,7.65,0.8400000000000001,4.0,7.65,0.018
47,Madhya Pradesh,0.0,0.0,6.4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,7.8,4.95,0.4,7.8,0.728,3.65,6.8,0.016
