,TSP,LSA,bw,acquired_year,band,years_left
0,Bharti,Assam,1.25,2012,1800,8
1,Idea,Assam,5,2012,1800,8
2,Idea,Bihar,1.25,2012,1800,8
3,Idea,Jammu & Kashmir,5,2012,1800,8
4,Idea,Kolkata,5,2012,1800,8
5,Idea,North East,5,2012,1800,8
6,Idea,Orissa,5,2012,1800,8
7,Idea,Tamil Nadu,5,2012,1800,8
8,Idea,West Bengal,6.25,2012,1800,8
9,Telewings,Andhra Pradesh,5,2012,1800,8
10,Telewings,Bihar,5,2012,1800,8
11,Telewings,Gujarat,5,2012,1800,8
12,Telewings,Maharashtra,5,2012,1800,8
13,Telewings,Uttar Pradesh (West),5,2012,1800,8
14,Telewings,Uttar Pradesh (East),5,2012,1800,8
15,Videocon,Bihar,5,2012,1800,8
16,Videocon,Gujarat,5,2012,1800,8
17,Videocon,Haryana,5,2012,1800,8
18,Videocon,Madhya Pradesh,5,2012,1800,8
19,Videocon,Uttar Pradesh (West),5,2012,1800,8
20,Videocon,Uttar Pradesh (East),5,2012,1800,8
21,Vodafone,Assam,2.5,2012,1800,8
22,Vodafone,Bihar,2.5,2012,1800,8
23,Vodafone,Haryana,2.5,2012,1800,8
24,Vodafone,Himachal Pradesh,1.25,2012,1800,8
25,Vodafone,Jammu & Kashmir,2.5,2012,1800,8
26,Vodafone,Kerala,1.25,2012,1800,8
27,Vodafone,Madhya Pradesh,2.5,2012,1800,8
28,Vodafone,Maharashtra,1.25,2012,1800,8
29,Vodafone,North East,2.5,2012,1800,8
30,Vodafone,Orissa,2.5,2012,1800,8
31,Vodafone,Punjab,1.25,2012,1800,8
32,Vodafone,Uttar Pradesh (West),2.5,2012,1800,8
33,Vodafone,Uttar Pradesh (East),1.25,2012,1800,8
34,Vodafone,West Bengal,2.5,2012,1800,8
35,SSTL,Delhi,3.69,2013,800,9
36,SSTL,Gujarat,3.69,2013,800,9
37,SSTL,Karnataka,3.69,2013,800,9
38,SSTL,Kerala,3.69,2013,800,9
39,SSTL,Kolkata,3.69,2013,800,9
40,SSTL,Tamil Nadu,3.69,2013,800,9
41,SSTL,Uttar Pradesh (West),3.69,2013,800,9
42,SSTL,West Bengal,3.69,2013,800,9
43,Aircel,Andhra Pradesh,5,2010,2100,6
44,Aircel,Andhra Pradesh,20,2010,2300,6
45,Aircel,Assam,5,2010,2100,6
46,Aircel,Assam,20,2010,2300,6
47,Aircel,Bihar,5,2010,2100,6
48,Aircel,Bihar,20,2010,2300,6
49,Aircel,Jammu & Kashmir,5,2010,2100,6
50,Aircel,Jammu & Kashmir,20,2010,2300,6
51,Aircel,Karnataka,5,2010,2100,6
52,Aircel,Kerala,5,2010,2100,6
53,Aircel,Kolkata,5,2010,2100,6
