LSA,600 MHz,700 MHz,800 MHz,900 MHz,1800 MHz,2100 MHz,2300 MHz,2500 MHz,3300 MHz,26 GHz
Andhra Pradesh,318,318,292,288,193,142,59,0,29.12,0.64
Assam,57,57,50,63,32,24,0,0,5.6,0.11
Bihar,145,145,126,147,82,68,0,15,13.44,0.3
Delhi,509,509,479,436,270,251,104,0,44.8,1
Gujarat,282,282,262,399,168,140,0,0,25.76,0.56
Haryana,71,71,62,68,41,34,0,0,6.72,0.15
Himachal Pradesh,26,26,22,26,16,12,0,3,2.24,0.06
Jammu & Kashmir,16,16,16,18,9,8,0,2,1.12,0.03
Karnataka,220,220,198,204,121,112,64,47,20.16,0.45
Kerala,110,110,103,213,58,48,0,0,10.08,0
Kolkata,173,173,153,153,109,80,32,0,16.8,0.36
Madhya Pradesh,156,156,136,156,99,73,0,0,14.56,0.32
Maharashtra,359,359,338,317,213,158,0,0,32.48,0.71
Mumbai,470,470,468,389,264,196,103,0,39.2,0.87
North East,15,15,13,16,8,5,0,0,1.12,0.03
Orissa,62,62,54,64,39,29,0,0,5.6,0.13
Punjab,112,112,101,104,61,51,0,0,10.08,0.22
Rajasthan,146,146,142,135,84,0,0,0,12.32,0.28
Tamil Nadu,253,253,225,222,141,0,81,58,23.52,0.52
Uttar Pradesh (East),171,171,160,186,184,0,0,0,15.68,0.34
Uttar Pradesh (West),154,154,133,152,87,72,0,0,14.56,0.32
West Bengal,102,102,89,99,58,37,0,0,10.08,0.21
